Date,Price,Open,High,Low,Vol.,Change %
07/18/2025,120.92,124.2,124.65,120.1,106.93M,-5.10%
07/17/2025,127.42,125.3,127.75,124.48,64.70M,1.91%
07/16/2025,125.03,126.17,127.1,124.98,32.27M,-0.79%
07/15/2025,126.03,126.2,127.12,124.32,28.02M,-0.13%
07/14/2025,126.19,124.49,127.05,124,27.81M,1.35%
07/11/2025,124.51,125.98,126.1,123.13,39.57M,-0.44%
07/10/2025,125.06,128.55,128.96,124.6,42.36M,-2.93%
07/09/2025,128.83,127.4,128.83,126.62,23.84M,1.02%
07/08/2025,127.53,129.09,129.32,126,32.93M,-1.11%
07/07/2025,128.96,129.5,129.5,127.6,22.74M,-0.58%
07/03/2025,129.72,129.2,130.23,127.98,20.06M,0.96%
07/02/2025,128.49,129.7,129.99,127.16,30.49M,-0.68%
07/01/2025,129.36,133.82,133.88,128.22,49.94M,-3.40%
06/30/2025,133.91,133.1,134.12,132.12,32.83M,1.21%
06/27/2025,132.31,130.69,133.13,130.1,40.71M,1.26%
06/26/2025,130.67,128,130.73,128,26.06M,2.46%
06/25/2025,127.53,128.68,129.8,127.38,21.47M,-0.30%
06/24/2025,127.91,126.05,128.26,125.5,26.63M,2.04%
06/23/2025,125.35,123.8,125.48,121.5,26.67M,1.80%
06/20/2025,123.14,123.44,124.85,122.43,53.48M,0.75%
06/18/2025,122.23,123,124.2,122.05,22.81M,0.13%
06/17/2025,122.07,122,123.24,121.61,18.92M,-0.38%
06/16/2025,122.54,121.22,122.63,121.22,21.13M,1.09%
06/13/2025,121.21,120.66,122.06,120.19,22.10M,-0.24%
06/12/2025,121.5,122.26,123,121.2,20.85M,-0.40%
06/11/2025,121.99,120.26,122.83,119.6,23.82M,1.35%
06/10/2025,120.36,122.75,122.75,118.06,44.54M,-1.70%
06/09/2025,122.45,123.89,123.89,122.16,24.03M,-1.37%
06/06/2025,124.15,125.94,126,123.56,25.57M,-0.72%
06/05/2025,125.05,124.06,126.28,123.73,28.22M,0.88%
06/04/2025,123.97,122.07,124.26,121.99,23.59M,1.78%
06/03/2025,121.79,121.99,122.96,121.12,23.64M,-0.09%
06/02/2025,121.9,120.12,121.94,119.63,22.94M,0.97%
05/30/2025,120.72,119.83,121.18,118.09,46.97M,1.89%
05/29/2025,118.49,120.8,120.9,117.63,33.03M,-1.96%
05/28/2025,120.86,121.03,121.59,120.6,18.56M,-0.25%
05/27/2025,121.16,119.53,121.18,119.31,29.20M,2.21%
05/23/2025,118.54,118.4,119.14,117.94,21.86M,-0.22%
05/22/2025,118.8,119.24,119.87,118.72,18.62M,-0.56%
05/21/2025,119.46,118.65,121.12,118.65,29.77M,0.22%
05/20/2025,119.2,118.68,119.3,117.9,21.33M,0.03%
05/19/2025,119.16,117.36,119.16,117.17,28.53M,0.01%
05/16/2025,119.15,119.31,119.65,117.94,46.98M,1.15%
05/15/2025,117.8,114.77,118.78,114.76,44.64M,2.34%
05/14/2025,115.1,112.96,115.29,112.84,39.10M,1.10%
05/13/2025,113.84,111.45,114.79,110.63,39.98M,2.56%
05/12/2025,111,112.43,113,110.29,64.79M,-2.65%
05/09/2025,114.02,114.71,115.1,113.32,25.70M,-0.37%
05/08/2025,114.44,116.16,116.23,113.92,37.61M,-0.95%
05/07/2025,115.54,113.92,116.4,113.8,43.52M,1.56%
05/06/2025,113.77,112.94,114.77,112.64,32.57M,0.32%
05/05/2025,113.41,111.48,114.4,110.7,56.62M,-1.94%
05/02/2025,115.65,113.67,115.94,113.33,37.74M,2.03%
05/01/2025,113.35,112.25,114.24,111.18,34.99M,0.15%
04/30/2025,113.17,111.26,113.32,110.11,42.67M,0.54%
